mobile_modelName,mobile_brandId,mobile_modelId
Nokia C2 02,1,1
Nokia C6,1,2
2690,1,3
5230,1,4
2730,1,5
Nokia E72,1,6
Nokia 1110,1,7
Oro,1,8
Wave,2,9
Champ,2,10
Primo,2,11
Curve 9380,3,12
Torch 9810,3,13
Explorer,13,14
Sensation XE,13,15
Xperia Mini ST15i,16,16
Optimus Black P970 ,8,17
T-500,8,18
Optimus Hub E510 ,8,19
C375,8,20
IN 4570 Xplode,9,21
E 310,11,22
EX 128,12,23
Nokia X1 01,1,24
Nokia C7,1,25
Nokia 7230,1,26
5233,1,27
Nokia E63,1,28
Nokia 3610,1,29
Nokia N79,1,30
Nokia E71,1,31
2626,1,32
Galaxy Y S5360,2,33
Galaxy Ace,2,34
Galaxy S LCD,2,35
Galaxy Pop,2,36
Metro,2,37
Corby II,2,38
Wave III,2,39
Desire,13,40
~Other HTC Model,13,41
QT-62 BLADE,4,42
M-5560 Samba,4,43
Mi-350,4,44
M-4262,4,45
Micromax X270,14,46
X-261,14,47
X-265,14,48
SK17i,16,49
~Other LG Model,8,50
IN 8809 Projector,9,51
E130,11,52
Zeppelin Lite Xt5,12,53
Defy Plus,12,54
Nokia E6 00,1,55
Nokia E73,1,56
Nokia 1800,1,57
Nokia X6,1,58
5030,1,59
Nokia 5310,1,60
Asha 303,1,61
Star II Duos,2,62
Omnia W,2,63
Curve 8520,3,64
Curve 9360,3,65
Bold 9790,3,66
M-5456,4,67
QT-59 Carnival ,4,68
M-5115,4,69
Micromax Bling Q55 ,14,70
Q-75,14,71
Q-56,14,72
Q-7,14,73
ST18i,16,74
Aura V36,7,75
IN 007,9,76
E 210,11,77
~Other Motorola Model,12,78
~Other Nokia Model,1,79
2700,1,80
Nokia 2600,1,81
Wildfire S,13,82
Rhyme,13,83
Sensation XL,13,84
QT 52,4,85
M-5460,4,86
M-5225 Bamboo,4,87
QT-64 Blueberry Aura ,4,88
Mi-720,4,89
M-5370,4,90
Q-35,14,91
GC 360,14,92
~Other  Sony Model,16,93
Live WT19i,16,94
ST15i,16,95
CK13i,16,96
Optimus Net Dual P698,8,97
Optimus3D P920,8,98
B261,7,99
~Other Alcatel Model,15,100
Stream,11,101
Erin EX 109,12,102
Brea EX 119,12,103
~Other MTS Model,5,104
Nokia C2 03,1,105
5130,1,106
Nokia 1209,1,107
Nokia N95,1,108
3110,1,109
Asha 201,1,110
Guru,2,111
Chat,2,112
Galaxy S Plus,2,113
~Other Samsung Model,2,114
ChaCha,13,115
Evo 3D,13,116
M-6900 Knight ,4,117
M-6450 Metal,4,118
Blueberry Express,4,119
Micromax Andro A60 ,14,120
A-70,14,121
X-600,14,122
GC 256,14,123
X-395,14,124
WT13i,16,125
Xperia pro,16,126
T-515,8,127
~Other Apple Model,6,128
iPhone 3GS,6,129
iPhone 4S,6,130
Kool 4370,9,131
OT 710D,15,132
OT 806D,15,133
RAZR XT910 ,12,134
Nokia X2 02,1,135
Nokia X5 01,1,136
Nokia 5250,1,137
Nokia C3,1,138
Bold 4 9900,3,139
Sensation,13,140
Radar,13,141
~Other Spice Model,4,142
QT-44,4,143
M-5455,4,144
Blueberry Mini,4,145
Micromax M2,14,146
Micromax X263,14,147
C-114,14,148
M-2,14,149
Q-6,14,150
Blade X55,14,151
Sol E730,8,152
~Other iBall Model,7,153
Aspire QE-45,7,154
IN 4070,9,155
Quartz EX212,12,156
Livewire SP100,5,157
~Other,10,158
Nokia Lumia 710,1,159
Nokia N9,1,160
7210,1,161
Hero Music,2,162
Galaxy S,2,163
Curve 3G 9300,3,164
~Other Blackberry Model,3,165
M-5220,4,166
M-5335,4,167
S-9090,4,168
M-6700 Cappuccino,4,169
M-5500 Transformer,4,170
~Other Micromax Model,14,171
Micromax X222,14,172
Superfone Lite A75 ,14,173
X-271,14,174
X-222,14,175
X-333,14,176
Xperia neo V ,16,177
WT19i,16,178
Optimus NET P690,8,179
Optimus Me P350 ,8,180
S365 ,8,181
Optimus pro C660,8,182
P520,8,183
IN 4500,9,184
IN 4666,9,185
~Other Acer Model,11,186
Liquid S100,11,187
Fire,12,188
MTag 3.1 SP-101 ,5,189
Nokia Lumia 800,1,190
Galaxy Y Color Plus,2,191
Galaxy Note N-7000,2,192
Hero,2,193
Galaxy S II,2,194
Bold 3 9780,3,195
Incredible S,13,196
Mi-350n,4,197
Mi-280,4,198
M-6868,4,199
Psych X505 ,14,200
X-226,14,201
Fengli txt pro CK15i,16,202
IPS-261,7,203
~Other Intex Model,9,204
Galaxy Grand,2,205
Galaxy SIII,2,206
Galaxy S4,2,207
Galaxy Note II,2,208
Galaxy y Duos S-6102,2,209
Turbo,14,210
Canvas Fun,14,211
Canvas Music,14,212
Canvas 2,14,213
Canvas Ego,14,214
Canvas 2 Plus,14,215
Canvas 2 Plus,14,216
Canvas 4,14,217
Canvas Music,14,218
Z30,3,219
Ascend,17,220
C-00,1,221
Elife E7,18,222
